mean	stdev	OPN	EXT	CSN	EST	AGR
0.250926	0.433546	-0.0471688	0.0703297	-0.00502702	-0.0525817	0.071375
0.210098	0.407378	0.0800078	0.00586098	0.0103395	-0.041762	-0.0302551
0.223781	0.416777	-0.0427137	-0.0476324	-0.043762	-0.0398475	-0.106428
0.126535	0.332451	0.0207676	-0.120566	0.001373	0.0732804	-0.118731
0.126123	0.331988	0.0181622	0.0640639	0.0124787	0.0867314	0.162268
0.236734	0.425078	-0.0424895	0.075679	-0.0228891	-0.0412396	0.0996235
0.229532	0.420532	0.0864627	0.0129173	0.00610406	-0.0447469	-0.0115943
0.2414	0.427932	-0.0589447	-0.0397627	-0.0185162	-0.0500642	-0.108561
0.15825	0.364976	0.000839692	-0.113803	0.0275224	0.0789555	-0.123722
0.230579	0.421203	0.0169788	0.0912796	0.00429197	0.0800204	0.191251
0.256625	0.436771	-0.0343584	0.0574375	-0.0215939	-0.0678343	0.0428713
0.196369	0.397251	0.0780529	-0.0128228	0.0120428	-0.0388202	-0.0475678
0.191136	0.393196	-0.057929	-0.0548399	-0.0174942	-0.0342382	-0.110763
0.116258	0.320535	-0.00354475	-0.114027	0.0270471	0.0767647	-0.115737
0.128111	0.334213	0.0164972	0.0725889	0.0156915	0.0852213	0.128632
0.22355	0.416623	-0.0318068	0.0827748	-0.0233026	-0.0372284	0.0676615
0.20738	0.40543	0.0813765	0.0191058	0.00939764	-0.0402001	-0.0131484
0.278913	0.448465	-0.0627633	-0.0450768	-0.0240577	-0.0522929	-0.0748393
0.154017	0.360965	0.00626269	-0.127391	0.029073	0.0737244	-0.0902527
0.199782	0.399837	0.0392796	0.101872	0.0527908	0.0879557	0.141626
0.250579	0.433346	-0.013032	0.0766723	-0.00284318	-0.060581	0.0385423
0.215929	0.411466	0.0891691	-0.0139512	0.0148711	-0.0382334	-0.0343748
0.204628	0.403429	-0.083157	-0.0656137	-0.050898	-0.0378491	-0.0769548
0.120279	0.325287	-0.0430614	-0.127254	-0.0199401	0.0671499	-0.0874096
0.390604	0.487886	0.0403304	0.0824863	-0.166924	0.0646635	-0.111781
0.255695	0.436251	-0.074631	0.00484367	0.0263348	-0.0733285	0.0184538
0.126752	0.332694	0.0302185	-0.0534279	0.0911758	-0.0234354	0.0591587
0.132449	0.338978	-0.0343165	-0.0418857	0.0734052	-0.0274541	0.0631372
0.0878621	0.283094	0.0496635	-0.0358937	0.0497326	0.0616442	0.0183589
0.034548	0.182632	-0.014953	-0.0818387	0.0454984	0.0510855	0.0787175
0.0881005	0.283441	-0.0526809	-0.0825461	0.0214197	-0.0136172	0.0875442
0.184868	0.38819	0.0675836	-0.0740273	0.0323463	-0.0403428	0.0545594
0.348911	0.476626	-0.0426542	0.031521	-0.0262103	-0.0897562	-0.014214
0.332675	0.471171	0.0235317	0.111023	-0.031985	0.112041	-0.114314
0.377467	0.484753	0.0899495	0.05166	-0.145396	0.0578916	0.0367782
0.235841	0.424523	-0.0253369	0.0227415	-0.0059415	-0.057945	-0.0183528
0.172324	0.377662	0.0171998	-0.0222825	0.0626784	-0.0277194	-0.020742
0.148489	0.355584	-0.0891773	-0.0373828	0.0699235	-0.0166179	-0.0102354
0.0591821	0.235965	-0.0341029	-0.054075	0.100334	0.0542131	0.00517343
0.0353802	0.184739	-0.0377228	-0.0568089	0.0922933	0.0542212	0.0983031
0.0809098	0.272696	-0.072524	-0.0481038	0.0806696	-0.00889068	0.0966407
0.143317	0.350396	0.0374217	-0.0461871	0.101239	-0.0337258	0.0660343
0.362132	0.480617	-0.0477754	0.0278146	0.00273196	-0.102678	5.45634E-05
